message-report                          \ufece
messages                                \u101d0
meteor                                  \u1000d
michelin-star                           \u1000c
mickey                                  \uf683
microphone                              \ufe0f
microscope                              \u10166
microwave                               \ufe0e
military-rank                           \uff5e
milk                                    \u1000b
mood-angry                              \uff0a
mood-confused                           \uf7f2
mood-crazy-happy                        \uff09
mood-empty                              \uf7f3
mood-happy                              \uf7f4
mood-kid                                \uf7f5
mood-neutral                            \uf7f6
mood-sad                                \uf7f7
mood-smile                              \uf7f8
mood-wrrr                               \uff08
moon                                    \uf684
motorbike                               \u100f8
mountain                                \u1000a
mouse                                   \ufb2f
mug                                     \u10009
mushroom                                \uf7f9
navigation                              \uf685
nurse                                   \u1009e
octagon                                 \uf686
octagon-minus                           \u1017f
octagon-plus                            \u1017e
oval                                    \uf687
oval-vertical                           \uf688
pacman                                  \u101c1
paint                                   \uf75f
palette                                 \u1009d
panorama-horizontal                     \ufecc
panorama-vertical                       \ufecb
parking-circle                          \ufeca
paw                                     \uf689
pencil                                  \u101cf
pennant                                 \uf68b
pennant-2                               \uf68a
pentagon                                \uf68c
phone                                   \ufa49
phone-call                              \u101c0
phone-calling                           \u101bf
phone-check                             \u101be
phone-x                                 \u101bd
photo                                   \ufa4a
picture-in-picture                      \ufec1
picture-in-picture-top                  \ufec2
pig                                     \u1010a
pill                                    \uff07
pin                                     \uf68d
pinned                                  \uf68e
pizza                                   \u10008
plane                                   \u101b9
plane-arrival                           \u101bc
plane-departure                         \u101bb
plane-tilt                              \u101ba
play-card                               \u101b8
play-card-1                             \u10083
play-card-10                            \u10082
play-card-2                             \u10081
play-card-3                             \u10080
play-card-4                             \u1007f
play-card-5                             \u1007e
play-card-6                             \u1007d
play-card-7                             \u1007c
play-card-8                             \u1007b
play-card-9                             \u1007a
play-card-a                             \u10079
play-card-j                             \u10078
play-card-k                             \u10077
play-card-q                             \u10076
play-card-star                          \u10075
player-eject                            \uf68f
player-pause                            \uf690
player-play                             \uf691
player-record                           \uf692
player-skip-back                        \uf693
player-skip-forward                     \uf694
player-stop                             \uf695
player-track-next                       \uf696
player-track-prev                       \uf697
playlist                                \u101b7
plus                                    \u101ce
point                                   \uf698
pointer                                 \ufb30
polaroid                                \ufa4b
poo                                     \ufec9
presentation                            \uff5c
presentation-analytics                  \uff5d
puzzle                                  \uf699
quote                                   \u1009c
radar                                   \ufe0d
radioactive                             \uf760
receipt                                 \uff06
receipt-dollar                          \u1017d
receipt-euro                            \u1017c
receipt-pound                           \u1017b
receipt-rupee                           \u1017a
receipt-yen                             \u10179
receipt-yuan                            \u10178
rectangle                               \uf69a
rectangle-vertical                      \uf69b
registered                              \u1018f
relation-many-to-many                   \ufe0c
relation-one-to-many                    \ufe0b
relation-one-to-one                     \ufe0a
replace                                 \uf69c
report-analytics                        \u101b6
report-money                            \u101b5
rollercoaster                           \u100f7
rosette                                 \uf69d
rosette-discount                        \uff05
rosette-discount-check                  \uf746
salad                                   \u10007
satellite                               \u101b4
scale                                   \u101cd
school                                  \u101cc
scuba-diving-tank                       \uff04
search                                  \u101cb
section                                 \ufe09
seedling                                \u10006
send                                    \u101ca
settings                                \uf69e
shield                                  \uf69f
shield-check                            \uf761
shield-checkered                        \uf762
shield-half                             \uf357
shield-lock                             \uf763
shirt                                   \uf6a0
shopping-cart                           \ufc3f
sign-left                               \uf6a1
sign-right                              \uf6a2
sitemap                                 \u1006b
sort-ascending-2                        \uff5b
sort-ascending-shapes                   \uff5a
sort-descending-2                       \uff59
sort-descending-shapes                  \uff58
soup                                    \ufe08
spade                                   \uf6a3
sparkles                                \u101b2
sparkles-2                              \u101b3
speedboat                               \u100f6
spider                                  \u10109
square                                  \ufc40
square-arrow-down                       \ufb31
square-arrow-left                       \ufb32
square-arrow-right                      \ufb33
square-arrow-up                         \ufb34
square-asterisk                         \ufb35
square-check                            \uf76d
square-chevron-down                     \ufb36
square-chevron-left                     \ufb37
square-chevron-right                    \ufb38
square-chevron-up                       \ufb39
square-chevrons-down                    \ufb3a
square-chevrons-left                    \ufb3b
square-chevrons-right                   \ufb3c
square-chevrons-up                      \ufb3d
square-dot                              \ufb3e
square-f0                               \uf76e
square-f1                               \uf76f
square-f2                               \uf770
square-f3                               \uf771
square-f4                               \uf772
square-f5                               \uf773
square-f6                               \uf774
square-f7                               \uf775
square-f8                               \uf776
square-f9                               \uf777
square-letter-a                         \ufe07
square-letter-b                         \ufe06
square-letter-c                         \ufe05
square-letter-d                         \ufe04
square-letter-e                         \ufe03
square-letter-f                         \ufe02
square-letter-g                         \ufe01
square-letter-h                         \ufe00
square-letter-i                         \ufdff
square-letter-j                         \ufdfe
square-letter-k                         \ufdfd
square-letter-l                         \ufdfc
square-letter-m                         \ufdfb
square-letter-n                         \ufdfa
square-letter-o                         \ufdf9
square-letter-p                         \ufdf8
square-letter-q                         \ufdf7
square-letter-r                         \ufdf6
square-letter-s                         \ufdf5
square-letter-t                         \ufdf4
square-letter-u                         \ufdf3
square-letter-v                         \ufdf2
square-letter-w                         \ufdf1
square-letter-x                         \ufdf0
square-letter-y                         \ufdef
square-letter-z                         \ufdee
square-minus                            \ufb3f
square-number-0                         \uf764
square-number-1                         \uf765
square-number-2                         \uf7fa
square-number-3                         \uf766
square-number-4                         \uf767
square-number-5                         \uf768
square-number-6                         \uf769
square-number-7                         \uf76a
square-number-8                         \uf76b
square-number-9                         \uf76c
square-rotated                          \uf6a4
square-rounded                          \uf6a5
square-rounded-arrow-down               \uf6db
square-rounded-arrow-left               \uf6dc
square-rounded-arrow-right              \uf6dd
square-rounded-arrow-up                 \uf6de
square-rounded-check                    \uf6df
square-rounded-chevron-down             \uf6e0
square-rounded-chevron-left             \uf6e1
square-rounded-chevron-right            \uf6e2
square-rounded-chevron-up               \uf6e3
square-rounded-chevrons-down            \uf6e4
square-rounded-chevrons-left            \uf6e5
square-rounded-chevrons-right           \uf6e6
square-rounded-chevrons-up              \uf6e7
square-rounded-letter-a                 \ufded
square-rounded-letter-b                 \ufdec
square-rounded-letter-c                 \ufdeb
square-rounded-letter-d                 \ufdea
square-rounded-letter-e                 \ufde9
square-rounded-letter-f                 \ufde8
square-rounded-letter-g                 \ufde7
square-rounded-letter-h                 \ufde6
square-rounded-letter-i                 \ufde5
square-rounded-letter-j                 \ufde4
square-rounded-letter-k                 \ufde3
square-rounded-letter-l                 \ufde2
square-rounded-letter-m                 \ufde1
square-rounded-letter-n                 \ufde0
square-rounded-letter-o                 \ufddf
square-rounded-letter-p                 \ufdde
square-rounded-letter-q                 \ufddd
square-rounded-letter-r                 \ufddc
square-rounded-letter-s                 \ufddb
square-rounded-letter-t                 \ufdda
square-rounded-letter-u                 \ufdd9
square-rounded-letter-v                 \ufdd8
square-rounded-letter-w                 \ufdd7
square-rounded-letter-x                 \ufdd6
square-rounded-letter-y                 \ufdd5
square-rounded-letter-z                 \ufdd4
square-rounded-minus                    \ufb40
square-rounded-number-0                 \uf778
square-rounded-number-1                 \uf779
square-rounded-number-2                 \uf77a
square-rounded-number-3                 \uf77b
square-rounded-number-4                 \uf77c
square-rounded-number-5                 \uf77d
square-rounded-number-6                 \uf77e
square-rounded-number-7                 \uf77f
square-rounded-number-8                 \uf780
square-rounded-number-9                 \uf781
square-rounded-plus                     \uf6e8
square-rounded-x                        \uf6e9
square-x                                \ufb41
squares                                 \ufe9f
stack                                   \ufdd1
stack-2                                 \ufdd3
stack-3                                 \ufdd2
star                                    \uf6a6
star-half                               \uf6a7
stars                                   \uf6a8
steering-wheel                          \uff03
sun                                     \uf6a9
sun-high                                \u10108
sun-low                                 \u10107
sunglasses                              \ufec8
sunrise                                 \u10106
sunset                                  \u10104
sunset-2                                \u10105
swipe-down                              \uff57
swipe-left                              \uff56
swipe-right                             \uff55
swipe-up                                \uff54
table                                   \uf782
tag                                     \uff02
tags                                    \uff01
temperature-minus                       \u10103
temperature-plus                        \u10102
template                                \u10177
test-pipe-2                             \uff53
thumb-down                              \uf6aa
thumb-up                                \uf6ab
ticket                                  \u101c9
tilt-shift                              \ufec7
timeline-event                          \ufd18
toggle-left                             \ufec0
toggle-right                            \ufebf
tools-kitchen-2                         \u101c8
train                                   \u100f5
